Time(ms),Voltage(V)
0,0.09
1000,0.10
2000,0.09
3001,0.09
4001,0.09
5002,0.10
6003,0.10
7004,0.10
8004,0.10
9005,0.11
10005,0.10
11005,0.11
12006,0.11
13007,0.11
14008,0.11
15008,0.11
16009,0.12
17009,0.11
18011,0.12
19011,0.12
20012,0.12
21012,0.12
22012,0.12
23013,0.12
24014,0.12
25015,0.13
26015,0.13
27016,0.13
28016,0.13
29018,0.13
30018,0.14
31019,0.14
32019,0.13
33019,0.14
34020,0.14
35021,0.14
36022,0.13
37022,0.14
38023,0.14
39023,0.14
40025,0.14
41025,0.14
42025,0.14
43026,0.15
44026,0.15
45027,0.15
46028,0.15
47029,0.15
48029,0.15
49030,0.15
50030,0.16
51032,0.16
52032,0.16
53032,0.15
54033,0.16
55033,0.16
56035,0.16
57035,0.16
58036,0.16
59036,0.17
60037,0.16
61037,0.17
62039,0.17
63039,0.17
64039,0.17
65040,0.17
66040,0.18
67042,0.17
68042,0.18
69043,0.18
70043,0.18
71044,0.17
72044,0.17
73046,0.18
74046,0.18
75046,0.19
76047,0.19
77047,0.19
78049,0.18
79049,0.19
80050,0.19
81050,0.19
82051,0.19
83051,0.19
84052,0.19
85053,0.20
86053,0.19
87054,0.20
88054,0.20
89056,0.20
90056,0.20
91057,0.20
92057,0.20
93058,0.20
94058,0.21
95059,0.21
96060,0.21
97060,0.20
98061,0.20
99061,0.20
100063,0.21
101063,0.21
102064,0.21
103064,0.21
104065,0.22
105066,0.22
106066,0.22
107067,0.21
108067,0.22
109069,0.22
110069,0.21
111070,0.22
112070,0.22
113071,0.22
114072,0.22
115073,0.22
116073,0.22
117073,0.22
118075,0.22
119075,0.22
120076,0.23
121076,0.23
122077,0.23
123078,0.23
124079,0.23
125079,0.23
126080,0.23
127081,0.23
128081,0.24
129082,0.23
130082,0.23
131084,0.23
132084,0.23
133085,0.23
134085,0.24
135086,0.24
136087,0.24
137088,0.24
138088,0.24
139088,0.24
140090,0.24
141090,0.24
142091,0.24
143091,0.25
144092,0.25
145093,0.25
146094,0.25
147094,0.25
148094,0.25
149096,0.25
150096,0.25
151097,0.25
152097,0.26
153098,0.26
154099,0.26
155100,0.26
156100,0.26
157101,0.26
158102,0.26
159102,0.26
160103,0.26
161103,0.26
162104,0.27
163105,0.27
164106,0.27
165106,0.26
166107,0.27
167108,0.27
168109,0.27
169109,0.26
170109,0.27
171111,0.27
172111,0.28
173112,0.28
174112,0.27
175113,0.28
176114,0.28
177115,0.28
178115,0.28
179116,0.28
180117,0.29
181117,0.28
182118,0.28
183118,0.28
184119,0.29
185120,0.29
186121,0.28
187121,0.29
188122,0.29
189123,0.29
190124,0.29
191124,0.29
192124,0.29
193125,0.29
194126,0.30
195127,0.29
196127,0.30
197128,0.30
198129,0.30
199130,0.30
200130,0.30
201131,0.30
202131,0.30
203132,0.30
204133,0.30
205133,0.30
206134,0.30
207135,0.31
208136,0.30
209136,0.31
210137,0.31
211137,0.31
212139,0.31
213139,0.31
214139,0.31
215140,0.31
216141,0.31
217142,0.32
218142,0.32
219143,0.31
220144,0.32
221145,0.32
222145,0.32
223145,0.32
224146,0.31
225147,0.32
226148,0.32
227148,0.32
228149,0.32
229150,0.33
230151,0.32
231151,0.33
232152,0.32
233153,0.32
234153,0.33
235154,0.33
236154,0.33
237155,0.33
238156,0.33
239157,0.33
240157,0.33
241158,0.33
242159,0.34
243160,0.34
244160,0.34
245160,0.34
246161,0.34
247162,0.34
248163,0.34
249163,0.34
250164,0.34
251165,0.34
252166,0.34
253166,0.34
254167,0.34
255168,0.34
256168,0.35
257169,0.34
258169,0.34
259170,0.35
260171,0.35
261172,0.34
262172,0.35
263173,0.35
264174,0.35
265175,0.35
266175,0.35
267175,0.35
268176,0.35
269177,0.35
270178,0.35
271178,0.36
272179,0.36
273180,0.36
274181,0.36
275181,0.36
276182,0.35
277182,0.36
278183,0.36
279184,0.36
280184,0.36
281185,0.37
282186,0.37
283187,0.36
284187,0.36
285188,0.37
286188,0.37
287190,0.37
288190,0.37
289190,0.37
290191,0.37
291192,0.37
292193,0.38
293193,0.37
294194,0.37
295195,0.38
296196,0.37
297196,0.37
298196,0.38
299197,0.38
300198,0.37
301199,0.38
302199,0.38
303200,0.37
304201,0.38
305202,0.38
306202,0.38
307203,0.38
308203,0.39
309204,0.38
310205,0.38
311205,0.39
312206,0.39
313207,0.38
314208,0.39
315208,0.39
316209,0.39
317209,0.39
318211,0.39
319211,0.39
320211,0.39
321212,0.39
322213,0.39
323214,0.39
324214,0.39
325215,0.39
326215,0.40
327217,0.39
328217,0.40
329218,0.40
330218,0.40
331219,0.40
332220,0.40
333220,0.40
334221,0.40
335221,0.40
336223,0.40
337223,0.41
338224,0.41
339224,0.41
340226,0.41
341226,0.41
342226,0.41
343227,0.41
344228,0.41
345229,0.41
346229,0.41
347230,0.41
348230,0.42
349232,0.41
350232,0.41
351233,0.42
352233,0.42
353234,0.41
354235,0.41
355235,0.42
356236,0.42
357236,0.42
358238,0.42
359238,0.42
360239,0.42
361239,0.42
362241,0.42
363241,0.42
364241,0.42
365242,0.42
366242,0.43
367244,0.42
368244,0.42
369245,0.43
370245,0.42
371247,0.42
372247,0.43
373248,0.43
374248,0.43
375249,0.43
376250,0.43
377250,0.43
378251,0.43
379251,0.43
380253,0.43
381253,0.43
382254,0.44
383254,0.43
384256,0.43
385256,0.43
386256,0.43
387257,0.44
388257,0.43
389259,0.43
390259,0.44
391260,0.44
392260,0.44
393262,0.44
394262,0.43
395262,0.45
396263,0.44
397263,0.44
398265,0.43
399265,0.44
400266,0.44
401266,0.44
402268,0.44
403268,0.45
404269,0.45
405269,0.45
406270,0.45
407271,0.44
408271,0.44
409272,0.45
410272,0.45
411274,0.45
412274,0.45
413275,0.46
414275,0.46
415277,0.46
416277,0.45
417277,0.46
418278,0.46
419278,0.45
420280,0.46
421280,0.45
422281,0.46
423281,0.45
424283,0.46
425283,0.46
426284,0.46
427284,0.45
428284,0.46
429286,0.46
430286,0.46
431287,0.46
432287,0.46
433289,0.46
434289,0.47
435290,0.46
436290,0.46
437291,0.46
438292,0.47
439292,0.47
440293,0.47
441293,0.47
442295,0.47
443295,0.47
444296,0.47
445296,0.47
446297,0.47
447298,0.47
448299,0.48
449299,0.47
450299,0.47
451301,0.47
452301,0.48
453302,0.48
454302,0.48
455303,0.48
456304,0.48
457305,0.48
458305,0.48
459305,0.49
460307,0.49
461307,0.48
462308,0.48
463308,0.48
464309,0.48
465310,0.48
466311,0.48
467311,0.48
468312,0.48
469313,0.48
470313,0.48
471314,0.49
472314,0.49
473316,0.48
474316,0.49
475317,0.49
476317,0.49
477318,0.49
478319,0.49
479320,0.49
480320,0.49
481320,0.49
482322,0.49
483322,0.49
484323,0.50
485323,0.50
486324,0.49
487325,0.50
488326,0.50
489326,0.50
490327,0.50
491328,0.50
492328,0.50
493329,0.50
494329,0.50
495330,0.50
496331,0.50
497332,0.50
498332,0.50
499333,0.50
500334,0.50
501335,0.50
502335,0.50
503335,0.51
504337,0.51
505337,0.51
506338,0.51
507338,0.51
508339,0.51
509340,0.51
510341,0.51
511341,0.51
512342,0.51
513343,0.51
514343,0.52
515344,0.52
516344,0.51
517345,0.52
518346,0.52
519347,0.52
520347,0.52
521348,0.52
522349,0.52
523350,0.52
524350,0.52
525350,0.52
526352,0.53
527352,0.52
528353,0.52
529353,0.52
530354,0.52
531355,0.52
532356,0.52
533356,0.53
534356,0.52
535358,0.53
536358,0.52
537359,0.52
538359,0.53
539360,0.52
540361,0.53
541362,0.53
542362,0.53
543363,0.53
544364,0.54
545364,0.53
546365,0.53
547365,0.53
548367,0.53
549367,0.54
550368,0.53
551368,0.54
552369,0.54
553370,0.53
554371,0.53
555371,0.53
556371,0.54
557373,0.54
558373,0.54
559374,0.54
560374,0.54
561375,0.54
562376,0.54
563377,0.54
564377,0.55
565378,0.54
566379,0.55
567379,0.55
568380,0.55
569380,0.54
570381,0.54
571382,0.55
572383,0.55
573383,0.54
574384,0.55
575385,0.55
576386,0.55
577386,0.55
578386,0.55
579388,0.55
580388,0.55
581389,0.55
582389,0.55
583390,0.55
584391,0.55
585392,0.55
586392,0.55
587393,0.56
588394,0.55
589394,0.55
590395,0.56
591395,0.55
592396,0.56
593397,0.56
594398,0.55
595398,0.56
596399,0.56
597400,0.56
598401,0.55
