Time(ms),Voltage(V)
0,0.12
1000,0.13
2000,0.13
3001,0.13
4001,0.13
5002,0.13
6003,0.14
7004,0.14
8004,0.14
9005,0.15
10005,0.15
11005,0.15
12006,0.15
13007,0.16
14008,0.16
15008,0.16
16009,0.16
17009,0.16
18011,0.17
19011,0.17
20012,0.17
21012,0.17
22012,0.17
23013,0.18
24014,0.17
25015,0.18
26015,0.18
27016,0.18
28016,0.18
29018,0.18
30018,0.19
31019,0.19
32019,0.19
33019,0.19
34020,0.20
35021,0.19
36022,0.19
37022,0.20
38023,0.20
39023,0.20
40025,0.21
41025,0.21
42025,0.21
43026,0.21
44026,0.21
45027,0.21
46028,0.21
47029,0.21
48029,0.22
49030,0.21
50030,0.22
51032,0.22
52032,0.22
53032,0.22
54033,0.22
55033,0.22
56035,0.22
57035,0.22
58036,0.23
59036,0.23
60037,0.22
61037,0.23
62039,0.23
63039,0.23
64039,0.24
65040,0.24
66040,0.24
67042,0.24
68042,0.24
69043,0.24
70043,0.24
71044,0.24
72044,0.24
73046,0.25
74046,0.25
75046,0.25
76047,0.25
77047,0.24
78049,0.25
79049,0.25
80050,0.26
81050,0.25
82051,0.25
83051,0.25
84052,0.26
85053,0.26
86053,0.26
87054,0.27
88054,0.27
89056,0.26
90056,0.27
91057,0.27
92057,0.27
93058,0.27
94058,0.27
95059,0.28
96060,0.27
97060,0.28
98061,0.27
99061,0.28
100063,0.28
101063,0.27
102064,0.29
103064,0.29
104065,0.29
105066,0.28
106066,0.28
107067,0.29
108067,0.29
109069,0.30
110069,0.29
111070,0.29
112070,0.30
113071,0.30
114072,0.30
115073,0.30
116073,0.30
117073,0.30
118075,0.30
119075,0.30
120076,0.31
121076,0.30
122077,0.31
123078,0.31
124079,0.31
125079,0.31
126080,0.31
127081,0.31
128081,0.31
129082,0.32
130082,0.32
131084,0.32
132084,0.32
133085,0.32
134085,0.32
135086,0.33
136087,0.32
137088,0.33
138088,0.33
139088,0.33
140090,0.33
141090,0.33
142091,0.34
143091,0.33
144092,0.33
145093,0.33
146094,0.33
147094,0.34
148094,0.34
149096,0.34
150096,0.34
151097,0.34
152097,0.34
153099,0.34
154099,0.35
155100,0.34
156100,0.35
157101,0.35
158102,0.35
159102,0.35
160103,0.35
161103,0.35
162105,0.35
163105,0.35
164106,0.36
165106,0.36
166107,0.35
167108,0.36
168109,0.36
169109,0.36
170109,0.36
171111,0.36
172111,0.36
173112,0.36
174112,0.37
175113,0.37
176114,0.37
177115,0.36
178115,0.36
179116,0.37
180117,0.37
181117,0.37
182118,0.37
183118,0.38
184120,0.38
185120,0.37
186121,0.37
187121,0.38
188122,0.38
189123,0.38
190124,0.38
191124,0.38
192124,0.38
193126,0.39
194126,0.38
195127,0.38
196127,0.39
197128,0.38
198129,0.39
199130,0.39
200130,0.39
201131,0.40
202132,0.39
203132,0.40
204133,0.39
205133,0.39
206134,0.39
207135,0.40
208136,0.40
209136,0.40
210137,0.40
211138,0.40
212139,0.40
213139,0.40
214139,0.40
215140,0.40
216141,0.41
217142,0.40
218142,0.40
219143,0.41
220144,0.41
221145,0.41
222145,0.41
223145,0.41
224146,0.41
225147,0.41
226148,0.42
227148,0.42
228149,0.42
229150,0.41
230151,0.42
231151,0.42
232152,0.42
233153,0.42
234153,0.42
235154,0.42
236154,0.42
237155,0.42
238156,0.43
239157,0.43
240157,0.43
241158,0.43
242159,0.43
243160,0.43
244160,0.43
245160,0.43
246161,0.43
247162,0.43
248163,0.43
249163,0.43
250164,0.43
251165,0.43
252166,0.43
253166,0.44
254167,0.43
255167,0.44
256168,0.43
257169,0.43
258169,0.44
259170,0.44
260171,0.44
261172,0.44
262172,0.44
263173,0.45
264173,0.45
265175,0.45
266175,0.45
267175,0.45
268176,0.45
269177,0.44
270178,0.45
271178,0.45
272179,0.45
273180,0.45
274181,0.45
275181,0.45
276182,0.46
277182,0.45
278183,0.45
279184,0.45
280184,0.45
281185,0.47
282186,0.46
283187,0.47
284187,0.46
285188,0.46
286188,0.46
287190,0.46
288190,0.47
289190,0.46
290191,0.47
291192,0.47
292193,0.47
293193,0.47
294194,0.47
295194,0.47
296196,0.47
297196,0.47
298196,0.48
299197,0.47
300198,0.48
301199,0.48
302199,0.47
303200,0.47
304200,0.48
305202,0.48
306202,0.48
307203,0.49
308203,0.48
309204,0.48
310205,0.49
311205,0.49
312206,0.48
313206,0.49
314208,0.49
315208,0.49
316209,0.49
317209,0.49
318211,0.50
319211,0.49
320211,0.49
321212,0.49
322213,0.49
323214,0.49
324214,0.50
325215,0.49
326215,0.50
327217,0.50
328217,0.50
329218,0.49
330218,0.50
331219,0.50
332220,0.50
333220,0.50
334221,0.51
335221,0.51
336223,0.51
337223,0.51
338224,0.50
339224,0.51
340226,0.51
341226,0.51
342226,0.51
343227,0.51
344228,0.51
345229,0.51
346229,0.51
347230,0.52
348230,0.52
349232,0.52
350232,0.51
351233,0.52
352233,0.52
353234,0.52
354235,0.52
355235,0.52
356236,0.52
357236,0.53
358238,0.52
359238,0.53
360239,0.52
361239,0.52
362241,0.53
363241,0.53
364241,0.53
365242,0.53
366243,0.53
367244,0.53
368244,0.53
369245,0.53
370245,0.54
371247,0.54
372247,0.53
373248,0.53
374248,0.54
375249,0.53
376250,0.54
377250,0.53
378251,0.54
379251,0.54
380253,0.54
381253,0.54
382254,0.54
383254,0.54
384256,0.54
385256,0.54
386256,0.54
387257,0.55
388258,0.55
389259,0.55
390259,0.55
391260,0.55
392260,0.55
393262,0.55
394262,0.55
395262,0.56
396263,0.55
397264,0.56
398265,0.55
399265,0.56
400266,0.55
401266,0.55
402268,0.55
403268,0.56
404269,0.56
405269,0.56
406270,0.56
407271,0.56
408271,0.56
409272,0.56
410272,0.56
411274,0.57
412274,0.56
413275,0.57
414275,0.56
415277,0.56
416277,0.57
417277,0.57
418278,0.57
419279,0.57
420280,0.57
421280,0.57
422281,0.57
423281,0.57
424283,0.57
425283,0.57
426284,0.58
427284,0.58
428285,0.58
429286,0.57
430286,0.58
431287,0.58
432287,0.58
433289,0.58
434289,0.58
435290,0.58
436290,0.59
437292,0.58
438292,0.58
439292,0.59
440293,0.59
441293,0.59
442295,0.59
443295,0.59
444296,0.59
445296,0.59
446298,0.59
447298,0.59
448299,0.59
449299,0.59
450299,0.59
451301,0.59
452301,0.59
453302,0.59
454302,0.60
455304,0.60
456304,0.60
457305,0.59
458305,0.59
459305,0.60
460307,0.60
461307,0.60
462308,0.60
463308,0.60
464310,0.60
465310,0.60
466311,0.61
467311,0.60
468312,0.60
469313,0.61
470313,0.61
471314,0.60
472314,0.61
473316,0.61
474316,0.61
475317,0.62
476317,0.61
477319,0.61
478319,0.62
479320,0.62
480320,0.61
481320,0.62
482322,0.61
483322,0.62
484323,0.61
485323,0.61
486325,0.62
487325,0.62
488326,0.62
489326,0.62
490327,0.62
491328,0.62
492328,0.62
493329,0.62
494329,0.63
495331,0.63
496331,0.62
497332,0.63
498332,0.63
499334,0.63
500334,0.63
501335,0.63
502335,0.63
503335,0.63
504337,0.63
505337,0.64
506338,0.63
507338,0.63
508340,0.63
509340,0.63
510341,0.64
511341,0.63
512343,0.63
513343,0.63
514343,0.64
515344,0.64
516344,0.64
517346,0.64
518346,0.63
519347,0.64
520347,0.64
521349,0.64
522349,0.65
523350,0.64
524350,0.64
525350,0.64
526352,0.65
527352,0.65
528353,0.64
529353,0.65
530355,0.65
531355,0.65
532356,0.65
533356,0.65
534356,0.65
535358,0.65
536358,0.65
537359,0.65
538359,0.65
539361,0.65
540361,0.66
541362,0.65
542362,0.65
543363,0.65
544364,0.65
545364,0.66
546365,0.66
547365,0.65
548367,0.65
549367,0.66
550368,0.65
551368,0.65
552370,0.65
553370,0.66
554371,0.66
555371,0.67
556371,0.67
557373,0.66
558373,0.66
559374,0.66
560374,0.67
561376,0.66
562376,0.66
563377,0.66
564377,0.66
565378,0.66
566379,0.67
567379,0.67
568380,0.67
569380,0.67
570382,0.67
571382,0.67
572383,0.67
573383,0.67
574385,0.67
575385,0.68
576386,0.67
577386,0.68
578386,0.67
579388,0.68
580388,0.68
581389,0.68
582389,0.68
583391,0.67
584391,0.67
585392,0.68
586392,0.68
587393,0.68
588394,0.68
589394,0.68
590395,0.69
591395,0.68
592397,0.69
593397,0.69
594398,0.68
595398,0.69
596399,0.68
597400,0.69
598401,0.69
