Time(ms),Voltage(V)
0,0.00
1000,0.00
2000,0.00
3001,0.00
4001,0.00
5002,0.00
6002,0.00
7004,0.00
8004,0.00
9005,0.00
10005,0.00
11005,0.00
12006,0.00
13006,0.00
14008,0.00
15008,0.00
16009,0.00
17009,0.00
18010,0.00
19010,0.00
20012,0.00
21012,0.00
22012,0.00
23013,0.00
24013,0.00
25014,0.00
26015,0.00
27016,0.00
28016,0.00
29017,0.00
30017,0.00
31017,0.00
32019,0.00
33019,0.00
34020,0.00
35020,0.00
36021,0.00
37021,0.00
38023,0.00
39023,0.00
40024,0.00
41024,0.00
42024,0.00
43025,0.00
44026,0.00
45027,0.00
46027,0.00
47028,0.00
48028,0.00
49029,0.00
50030,0.00
51031,0.00
52031,0.00
53031,0.00
54032,0.00
55032,0.00
56034,0.00
57034,0.00
58035,0.00
59035,0.00
60036,0.00
61037,0.00
62038,0.00
63038,0.00
64038,0.00
65039,0.00
66039,0.00
67041,0.00
68041,0.00
69042,0.00
70042,0.00
71043,0.00
72043,0.00
73044,0.00
74045,0.00
75045,0.00
76046,0.00
77046,0.01
78048,0.01
79048,0.01
80049,0.01
81049,0.01
82050,0.01
83050,0.01
84051,0.01
85052,0.01
86052,0.01
87053,0.01
88053,0.01
89054,0.01
90055,0.02
91056,0.02
92056,0.02
93057,0.02
94057,0.02
95058,0.02
96059,0.02
97059,0.02
98060,0.02
99060,0.02
100061,0.02
101062,0.02
102063,0.02
103063,0.02
104064,0.02
105064,0.03
106065,0.03
107066,0.03
108066,0.03
109067,0.03
110068,0.03
111069,0.03
112069,0.03
113070,0.03
114070,0.03
115072,0.03
116072,0.04
117072,0.04
118073,0.04
119074,0.04
120075,0.04
121075,0.04
122076,0.04
123076,0.04
124078,0.04
125078,0.04
126078,0.04
127079,0.04
128080,0.04
129081,0.05
130081,0.05
131082,0.05
132082,0.05
133084,0.05
134084,0.05
135085,0.05
136085,0.05
137085,0.05
138087,0.05
139087,0.05
140088,0.05
141088,0.05
142090,0.05
143090,0.05
144091,0.05
145091,0.05
146092,0.06
147093,0.06
148093,0.06
149094,0.06
150094,0.06
151096,0.06
152096,0.06
153097,0.06
154097,0.06
155098,0.06
156099,0.06
157100,0.06
158100,0.06
159100,0.06
160101,0.06
161102,0.07
162103,0.07
163103,0.07
164104,0.07
165105,0.07
166106,0.07
167106,0.07
168107,0.07
169107,0.07
170108,0.07
171109,0.07
172109,0.07
173110,0.07
174111,0.07
175112,0.08
176112,0.08
177113,0.08
178113,0.08
179115,0.08
180115,0.08
181115,0.08
182116,0.08
183116,0.08
184118,0.08
185118,0.08
186119,0.08
187119,0.08
188121,0.08
189121,0.08
190121,0.08
191122,0.08
192122,0.08
193124,0.08
194124,0.08
195125,0.08
196125,0.08
197127,0.08
198127,0.08
199128,0.08
200128,0.08
201128,0.08
202130,0.08
203130,0.08
204131,0.08
205131,0.08
206133,0.08
207133,0.08
208134,0.08
209134,0.08
210135,0.08
211136,0.08
212136,0.08
213137,0.08
214137,0.08
215139,0.08
216139,0.08
217140,0.08
218140,0.08
219141,0.08
220142,0.08
221143,0.08
222143,0.08
223143,0.08
224144,0.08
225145,0.08
226146,0.08
227146,0.08
228147,0.08
229148,0.08
230149,0.08
231149,0.08
232150,0.08
233150,0.09
234151,0.09
235152,0.09
236152,0.08
237153,0.09
238154,0.08
239155,0.09
240155,0.09
241156,0.09
242156,0.09
243158,0.09
244158,0.09
245158,0.09
246159,0.09
247160,0.09
248161,0.09
249161,0.10
250162,0.10
251162,0.09
252164,0.10
253164,0.10
254164,0.10
255165,0.10
256165,0.10
257167,0.10
258167,0.10
259168,0.10
260168,0.10
261170,0.10
262170,0.10
263171,0.10
264171,0.10
265171,0.10
266173,0.10
267173,0.10
268174,0.10
269174,0.11
270176,0.11
271176,0.11
272177,0.11
273177,0.11
274179,0.11
275179,0.11
276179,0.11
277180,0.11
278180,0.11
279182,0.11
280182,0.11
281183,0.11
282183,0.12
283185,0.12
284185,0.12
285186,0.12
286186,0.12
287186,0.12
288188,0.12
289188,0.12
290189,0.12
291189,0.12
292191,0.12
293191,0.12
294192,0.12
295192,0.12
296194,0.12
297194,0.13
298194,0.13
299195,0.13
300195,0.13
301197,0.13
302197,0.13
303198,0.13
